logFC	logCPM	PValue	FDR
YKR093W	6.72485818905938	8.10856851168886	1.55491421170246e-31	2.77577266050368e-29
YER069W	-4.39916234886066	8.27056167621926	2.70834250281966e-31	4.68373981581375e-29
YJL116C	7.50623987978316	7.27159323297193	3.1751511406804e-31	5.3246322462198e-29
YMR303C	10.3201100230494	11.2297894862532	4.47823460615727e-31	7.28898538543362e-29
YMR120C	-6.04838677787637	10.7753771706404	8.54825843914943e-31	1.35160177720723e-28
YHR092C	-4.69632315091297	6.02474636196858	5.12870282171945e-29	7.88395594872095e-27
YHR018C	-4.28251337194333	10.0436802712927	1.9869324365651e-28	2.97180651458142e-26
YCL064C	4.50741552584213	6.68681880181102	2.3078110232568e-28	3.3609016322903e-26
YPL111W	4.1659155534381	7.75564488639332	3.15849162170645e-28	4.4818186242368e-26
YGR243W	4.55453143524232	7.2901675826655	2.00591472166105e-27	2.77518301741807e-25
YIL165C	-3.80260285764351	5.7853156659044	2.39305091953139e-27	3.23003507041139e-25
YPL201C	5.29237873853027	6.38360078478749	2.58680453129101e-27	3.4084229228963e-25
YLR058C	-4.14586753570662	11.6433994727156	6.43643692154166e-27	8.28354463344454e-25
YPR167C	-4.47803852183179	7.1381884647427	4.14444726304061e-26	5.21258435310608e-24
YMR081C	5.61024873041103	5.33342536436519	1.02346024576071e-25	1.2586286666755e-23
YPL265W	6.23943804015267	9.04839699830422	2.23048604998246e-25	2.68337169578325e-23
YHR137W	4.86103843325654	9.10951239794928	2.90074298637244e-25	3.41547057161385e-23
YHL036W	-3.51940930824727	6.33658949464382	3.66051353755315e-25	4.22026706600399e-23
YDR536W	8.65026759808305	8.1147361306932	4.01117035188354e-25	4.53016667904561e-23
YPL156C	4.59623425894484	5.36130479431261	5.26616081004942e-25	5.8285867845627e-23
YER064C	3.63308411187649	5.77163205893259	9.32506981329787e-25	1.01186149699589e-22
YLR303W	-4.10592587277863	11.8559991093861	1.07481483000258e-24	1.14385101331428e-22
YPR030W	4.73476763260538	6.58050681350179	1.37691162639685e-24	1.43770357367551e-22
YBR104W	-4.308958652752	5.27924520666274	1.59674617872118e-24	1.6363691394524e-22
YKL187C	5.534973054932	9.05009611101788	5.60835130826895e-24	5.61924770193038e-22
YHR033W	3.87027001621912	8.03823699971452	5.6862643893766e-24	5.61924770193038e-22
YIL164C	-3.81318356190175	6.18014582905249	1.10257198830329e-23	1.07046199706498e-21
YLR180W	-3.51273992021923	10.5588334244474	4.91206880809582e-23	4.68679116965557e-21
YDR508C	3.62074552712664	7.97186514511433	8.8997372778312e-23	8.34765188059625e-21
YEL065W	4.03633578659332	9.34099631431361	1.26600913994998e-22	1.16768243008053e-20
YIR027C	-7.76548857304115	3.68584077320282	1.31967740018477e-22	1.19722864469222e-20
YJR137C	-3.50725308656732	9.47675507142438	1.34709556249923e-22	1.20239142626947e-20
YCL025C	4.63247292989929	8.08152652129318	1.76025990782289e-22	1.54623465553839e-20
YJR095W	12.2163490427211	8.01660911741763	4.77511787387713e-22	4.12898473656814e-20
YMR319C	-6.04260605413142	5.29503626297947	5.82027983344697e-22	4.95529670743008e-20
YOL136C	-3.53225529805478	6.26412062333638	6.68405018964115e-22	5.60447481052638e-20
YBR297W	4.48942880671427	6.74844014727315	8.01640783353085e-22	6.62131357474026e-20
YDR216W	4.50443031832114	8.18419799601572	1.63526433166098e-21	1.33081658991351e-19
YAL037C-B	-5.78105972517021	5.44837582149612	1.69661963797507e-21	1.36073812703682e-19
YCL018W	-3.60603741089821	9.34972183022033	1.78361575064379e-21	1.41007565200897e-19
YMR062C	-3.26098493036402	7.63515912629825	1.8600536174169e-21	1.44979390405424e-19
YOL052C-A	7.73527059698785	8.17656776626799	2.71073528595496e-21	2.08350126006593e-19
YKL001C	-4.91771040467866	8.23200047949625	3.86387999836738e-21	2.92913861794042e-19
YPL186C	3.91920100800449	6.28070689098848	6.25275729976627e-21	4.67604849958197e-19
YGL157W	-4.21353820326885	5.72367847327913	1.00435975100449e-20	7.41083581607845e-19
YOR120W	3.05972730460628	7.41542883358561	1.76730798345508e-20	1.28687926058427e-18
YLR438W	4.19377531609783	7.88555712905576	2.47809394414211e-20	1.78100933595875e-18
YGL234W	-3.21568537857353	10.4791548855319	2.73504582199219e-20	1.94047994601343e-18
YOR382W	6.2365517460167	9.49018855230614	2.90245124056816e-20	2.03318546396255e-18
YIR017C	-3.25936087599232	5.51749916844283	3.30488636700448e-20	2.28615514437535e-18
YKL218C	-3.36142670621466	5.96474522976244	3.4036173671575e-20	2.325385001216e-18
YLR327C	6.20499657319479	8.26301367814593	6.47407115079891e-20	4.36920850591722e-18
YBR296C	5.88112357050633	9.54216778002174	7.72922061813177e-20	5.15343456635436e-18
YPL230W	4.11897081047367	6.11456576910532	9.73322366554207e-20	6.41234044822736e-18
YJR148W	3.51453127452584	8.35138751692755	1.76274566948895e-19	1.14765112175904e-17
YBR294W	-6.59581926214425	8.80473914093234	2.02977373012405e-19	1.30613579331471e-17
YGR055W	3.03521211063689	7.47435710514157	2.25269065975361e-19	1.43291840357201e-17
YKL093W	4.53187892188746	6.11882312969723	2.41931453561524e-19	1.5214189363744e-17
