logFC	logCPM	PValue	FDR
YER064C	4.06507125282742	6.47038056314277	6.63064502058543e-49	6.21932026168131e-47
YHR029C	-2.92478084516438	6.27464480286655	7.26400824383341e-48	6.69983693689569e-46
YJL060W	-2.28462997465572	7.93393442318722	2.2724575869995e-47	2.0616033256484e-45
YIL164C	-3.58754276386074	5.4003103411734	1.17842004798825e-46	1.04362395382478e-44
YLR142W	-3.78710046899627	4.64158823387238	1.1880793113654e-46	1.04362395382478e-44
YAL060W	-1.96812497313379	7.78792692110466	8.90241601866208e-46	7.69780785113687e-44
YKL218C	-3.06290992589586	5.28173500559005	1.34860465791308e-43	1.14818125798323e-41
YPL264C	-3.42190055639412	4.56163743325525	7.27457229492911e-43	6.09961864850571e-41
YMR062C	-2.53932264290014	7.02821314412235	1.75751098210611e-41	1.45165160820526e-39
YER052C	-1.63977285606978	8.82832132470843	2.05180634769602e-41	1.66980828355143e-39
YGL009C	-2.08976330281948	9.00868473511655	2.26195245866562e-41	1.81415143568921e-39
YOR092W	-1.88992878187951	7.14115692874157	8.59786327694323e-41	6.79722505351484e-39
YPL111W	3.00916400862898	6.93255104627182	5.96265864637148e-40	4.64751449986194e-38
YCR005C	-2.53607022528732	8.2860030997267	7.85474864453168e-40	5.96976937592277e-38
YHR047C	2.29267361096908	7.81359470545301	7.87483130542758e-40	5.96976937592277e-38
YDR380W	7.88994290394274	4.3660562579718	1.1508433039762e-39	8.60644168135712e-38
YDR502C	-2.00193943375208	8.93082293315189	1.27473243552829e-39	9.40582573095142e-38
YIR028W	-4.59733637728246	3.2330486014156	2.17618448966968e-39	1.58460591655684e-37
YOL020W	2.41569111671154	7.2626810856194	2.52543162953216e-39	1.8150309919261e-37
YIL121W	-2.07950329035075	9.0676148281124	3.10534956482459e-39	2.20320570406914e-37
YIL116W	-2.18303286554025	7.03133247522604	3.54893258594793e-38	2.48604973805517e-36
YKR069W	-2.4349560069413	5.6121465842146	2.60678916487526e-37	1.80324640480246e-35
YER060W	3.10697312182618	6.33357570727266	8.62842493101421e-37	5.89502513188057e-35
YMR189W	-2.64312372797123	8.81769467443671	2.71938444314642e-36	1.83525286687467e-34
YBR115C	-1.90979962019738	8.52525029822447	7.03092608880724e-36	4.68784879222401e-34
YPR036W-A	-1.92375984506292	7.67184690433087	3.7444302503099e-35	2.46686631014464e-33
YJR148W	2.4921587451019	7.64407493605772	4.47634454662608e-35	2.90283119915176e-33
YDL198C	-1.62818573475748	7.93257333520851	4.51108570883721e-35	2.90283119915176e-33
YIL074C	-1.97102851595749	8.02274469490651	5.28449812044214e-35	3.36142673546285e-33
YGL184C	-5.21544123736135	3.25603630546527	1.14770560634968e-34	7.21750321083993e-33
YER011W	6.41310747740293	6.60275992151505	1.52086208923219e-34	9.4566862941696e-33
YGL077C	-1.71130571081341	8.80424751363091	5.68681710563929e-34	3.49676065140087e-32
YNL274C	-2.49969203407411	5.14630956271382	1.61854496081252e-33	9.84288770674338e-32
YCL025C	3.20444266797763	7.00585449635525	2.85441128640915e-33	1.71699044119437e-31
YIL094C	-1.70961743033202	8.65355047719615	4.28008806565412e-33	2.54688251132579e-31
YPR035W	-1.8690896127334	10.3124032315938	6.12481513337427e-33	3.6058220157546e-31
YLR304C	-1.51411748112279	11.182797374785	8.71369369503091e-33	5.07595588508432e-31
YDR497C	-1.8984225870117	10.0499176700235	1.52406672029973e-32	8.78560961472784e-31
YGL026C	-1.57308870306403	9.46213039524102	2.80070895904929e-32	1.59784777106997e-30
YLR180W	-1.48663587651965	10.3528050011864	1.30854369337169e-31	7.38926612154995e-30
YGL234W	-1.58746843365108	10.20721183874	3.73894855306923e-31	2.0900344740086e-29
YMR251W-A	-2.18529751320614	8.39140372196141	1.14882971207341e-30	6.35762362661425e-29
YOR222W	-1.83657421738693	7.05513359627346	1.75624706310391e-30	9.62284281902677e-29
YBR145W	-1.90434408685908	6.38034522843605	2.62561753794959e-30	1.42452622107971e-28
