GeneID,day2,day2,day2,day2,day2,day6,day6,day6,day6,day6,day6,day6,day6
ENSG00000206712,6,1,4,2,6,0,0,0,0,0,0,0,1
ENSG00000228803,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000221392,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000214022,31077,27685,45627,23699,44395,15908,12395,17009,15217,29411,15217,22725,21357
ENSG00000221156,0,0,10,0,0,0,0,0,0,0,0,0,0
ENSG00000243280,1,2,8,3,0,1,1,6,0,0,0,0,1
ENSG00000198740,3501,3653,8164,4214,5992,2366,1449,3664,3425,3743,3425,3326,4594
ENSG00000280415,0,0,7,6,0,2,0,0,0,0,0,2,2
ENSG00000249521,0,0,1,0,0,0,0,0,1,0,1,0,0
ENSG00000203411,0,0,0,0,0,0,2,0,0,0,0,0,0
ENSG00000197561,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000213184,0,3,0,0,2,5,0,0,10,0,10,1,2
ENSG00000217159,17,8,19,11,12,3,4,7,2,4,2,0,17
ENSG00000232610,0,0,0,0,0,4,0,0,0,0,0,0,1
ENSG00000119707,6018,6685,14963,6762,8892,2683,2230,7088,4934,4915,4934,4433,6174
ENSG00000222624,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000203785,0,0,2,4,0,0,3,0,0,0,0,0,4
ENSG00000266059,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000267122,4,10,30,18,29,15,15,5,14,0,14,6,11
ENSG00000276074,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000116035,7,0,2,0,3,0,1,1,0,0,0,0,0
ENSG00000256987,0,5,12,1,1,0,1,0,0,2,0,0,0
ENSG00000234102,2,1,5,1,1,1,0,0,0,0,0,2,3
ENSG00000277358,2,0,4,0,6,0,0,0,0,3,0,0,2
ENSG00000274770,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000223307,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000226461,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000188916,2,0,0,0,5,0,0,0,0,0,0,0,0
ENSG00000162430,4528,4297,8242,3798,7400,2253,1722,3106,2138,3950,2138,3567,3570
ENSG00000207108,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278881,1,7,12,0,3,0,0,2,1,6,1,1,2
ENSG00000238876,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000225787,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000270978,2,4,14,0,5,1,0,0,8,0,8,0,2
ENSG00000258897,0,2,0,0,0,0,0,0,1,0,1,1,0
ENSG00000264801,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000198598,620,515,596,350,979,230,193,148,137,369,137,259,226
ENSG00000260646,1,7,17,2,0,0,0,0,4,0,4,5,6
ENSG00000240327,2,0,1,0,3,0,0,4,0,0,0,0,0
ENSG00000173013,84,54,133,57,152,40,33,42,39,67,39,37,42
ENSG00000277726,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000137078,4,10,4,1,1,5,1,1,0,0,0,1,0
ENSG00000226670,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000274114,7,1,10,5,11,2,0,12,0,16,0,3,9
ENSG00000169855,18,39,56,27,39,11,15,22,15,34,15,23,14
