GeneID,Normal,Normal,Normal,Normal,Normal,Normal,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor
ENSG00000109606,1929,8263,4176,5163,3221,4410,5563,2004,2489,4586,3670,5646,4104,4446,3300,4244,3863,6313
XLOC_139213,2,1,1,2,1,3,0,33,8,2,0,0,1,0,9,1,0,0
ENSG00000267612,1,0,7,6,9,12,0,0,7,10,13,0,0,0,35,2,9,15
XLOC_153673,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_100641,1,0,15,23,24,38,3,2,32,8,35,42,12,7,53,11,75,57
XLOC_159354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000113013,529,1116,795,1084,533,1197,1260,453,572,795,946,1749,807,1143,1081,538,801,1508
ENSG00000197140,0,4,4,0,36,2,0,3,2,2,1,9,0,0,3,2,6,9
ENSG00000173757,188,435,519,336,576,677,251,245,294,244,278,585,154,310,459,114,436,596
XLOC_116930,147,297,263,245,350,355,69,82,132,132,351,150,193,203,336,71,541,291
XLOC_057174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_133667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_039475,2,3,9,5,13,9,6,3,11,8,1,17,6,14,11,0,1,6
ENSG00000215269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000226479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_115498,2,57,1,29,1,1,8,0,12,6,8,7,6,10,22,4,0,2
XLOC_147687,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
XLOC_041675,58,198,402,111,790,299,84,6,241,58,272,195,62,69,280,56,391,250
XLOC_168099,0,0,0,0,0,295,0,0,0,0,0,151,0,0,0,0,0,202
ENSG00000071655,0,2,25,15,8,7,0,1,8,2,17,18,8,25,8,6,0,5
XLOC_010821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_151138,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_030031,0,0,0,0,1,5,1,0,7,2,0,16,0,3,3,0,8,8
ENSG00000170484,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
XLOC_041316,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_001802,0,1,1,9,0,4,1,3,0,2,0,6,0,4,0,0,1,4
ENSG00000113141,650,1261,953,1327,1366,1725,606,721,586,835,861,1316,376,1062,939,603,867,1239
ENSG00000170271,207,199,407,288,573,588,69,132,262,64,197,145,32,200,228,31,271,132
ENSG00000090402,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,11,0
ENSG00000264522,545,1124,1033,781,1474,1371,640,519,763,765,1076,907,550,560,986,502,713,1317
XLOC_086621,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,0
ENSG00000204361,0,0,1,2,0,1,0,0,0,0,0,10,0,0,1,0,0,12
ENSG00000282218,0,8,0,3,0,13,0,0,8,4,4,10,0,3,17,2,0,6
XLOC_014744,3,1,5,21,32,20,20,0,66,12,18,39,13,9,76,7,98,81
ENSG00000138640,188,239,549,458,405,611,430,413,721,475,1430,449,298,473,883,309,1154,697
ENSG00000150456,28,15,29,31,33,57,44,10,7,35,13,82,42,27,36,8,11,19
ENSG00000267521,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
XLOC_114210,417,690,1160,1098,1075,845,719,491,642,722,856,571,511,1040,994,452,856,709
ENSG00000169660,1,12,3,9,10,11,7,1,6,9,2,8,2,9,18,9,6,9
XLOC_116775,0,0,0,0,0,3,0,0,7,0,1,5,0,1,2,0,1,5
ENSG00000134243,842,909,1340,911,3225,2474,698,1085,979,668,1744,2083,280,481,1735,378,1016,1868
ENSG00000040531,3,24,57,59,35,103,78,16,63,39,46,61,32,67,52,69,46,55
ENSG00000072864,6,26,16,23,16,49,16,68,10,26,50,28,18,9,44,4,31,68
ENSG00000215113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000260123,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,1
XLOC_004316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000149231,67,179,313,306,601,822,93,99,180,161,241,622,122,88,236,175,240,636
ENSG00000254226,1,0,14,0,0,8,0,0,2,0,2,0,0,0,5,0,4,0
XLOC_030751,6,20,15,46,55,48,3,9,9,9,14,8,16,13,12,3,21,79
XLOC_099453,1,0,5,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0
ENSG00000128052,744,1083,1276,444,1773,1969,293,778,395,253,253,1815,213,59,576,129,219,2877
ENSG00000279813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_133641,126,11,194,145,326,192,40,151,370,157,336,299,9,133,378,121,573,343
ENSG00000105997,0,3,13,9,4,4,0,0,0,11,3,3,1,0,5,2,4,3
XLOC_133521,0,0,0,1,2,1,0,0,0,0,2,11,0,0,0,0,0,21
XLOC_087984,7,64,61,58,43,42,13,22,10,21,13,25,21,1,44,25,8,38
ENSG00000080822,152,289,539,241,439,783,192,276,250,197,302,604,113,173,444,102,543,735
XLOC_068142,1,12,2,9,24,39,1,32,19,30,19,8,2,5,15,35,11,21
ENSG00000204918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000128394,25,4,119,83,35,106,12,1,80,66,41,85,33,26,102,25,97,84
ENSG00000069018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274588,0,17,8,0,7,7,0,0,0,0,0,1,0,0,0,0,2,0
ENSG00000088812,369,106,233,309,710,530,384,137,233,211,663,682,320,287,481,213,512,721
XLOC_122789,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,4,0,0
ENSG00000274810,3,1,5,1,0,1,3,1,0,5,0,0,0,0,0,0,3,0
ENSG00000162004,0,0,3,5,0,5,1,0,0,0,3,5,0,0,9,0,0,9
XLOC_063489,18,5,32,83,28,19,45,15,34,68,57,62,13,51,70,31,28,28
ENSG00000152092,1,0,1,2,0,3,5,0,0,0,0,0,0,0,5,0,2,1
XLOC_124784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_027784,84,288,280,116,243,364,60,117,126,67,151,286,79,136,213,25,144,251
